OPERATION_PRODUCT,OPERATION_ID,EMPLOYEE_ID,MACHINE_CODE,SHIFT,HOUR,OT_FLAG,PLANED_QUANTITY,PM_EMPLOYEE_ID,IS_SCRAP
F6A01513.BLANK_2_HOLES_PIERCE,O0089,E1036 ,PP04,General,2,0,590,E1043,1
F7182114.SPOT_WELD,O0068,E1051 ,SW01,General,1,0,989,E1060,1
FA974313.TRIM,O0072,E1036 ,PP02,General,1,0,629,E1043,1
B0Y17741.BLANK_HOLE_PIERCE,O0095,E1032 ,PP02,General,2,0,1008,E1043,1
FA974313.FORM,O0041,E1037 ,PP03,General,1,0,637,E1043,1
9709090124.3RD_DRAW,O0004,E1046,HP04,General,1,0,200,E1043,1
B0Y17736.BLANK_HOLE_PIERCE,O0095,E1032 ,PP02,General,1,0,1008,E1019,1
9259076592.ROBOT_CO2_WELD,O0060,E1024 ,ROW2,General,3,0,458,E1010,1
9259076592.ROBOT_CO2_WELD,O0060,E1011 ,ROW2,General,6,0,1352,E1010,1
100260710.DEBUR,O0026,E057,DB01,General,2,0,600,E1010,1
100261280.EMBOSS,O0030,E1011,PP13,General,5,0,158,E1010,1
B0Y18702.BLANK_2_HOLES_PIERCE,O0089,E1036 ,PP04,General,1,0,780,E1043,1
4721951294.BEND,O0015,E1035 ,HP02,General,3,0,1456,E1043,1
9259076592.NOTCH,O0051,E1053,NM01,General,2,0,180,E1010,1
9254916692.3RD_DRAW,O0004,E1033,HP03,General,1,0,670,E1043,1
9259076592.ROBOT_CO2_WELD,O0060,E1050,ROW2,General,2,0,142,E1010,1
9254916692.SIDE_HOLES_PIERCE,O0063,E1027 ,PP04,General,1,0,1035,E1019,1
100261280.EMBOSS,O0030,E1011,PP09-13,General,1,0,202,E1010,1
100261280.CO2_WELD,O0021,E1059,MIG01,General,1,0,272,E1010,1
B5437304-F2866213.BLANK,O0019,E1031 ,PP06,General,2,0,672,E1043,1
B5437305-F2866313.FOLD,O0037,E1035 ,HP02,General,2,0,672,E1043,1
B5437304-F2866213.U_FOLD,O0096,E1029 ,HP02,General,1,0,671,E1043,1
9254916692.TOP_HOLES_PIERCE,O0070,E057 ,PP13,General,1,0,882,E1010,1
F1105313-WHEEL_NUT.BLANK,O0019,E1012 ,PP07,General,1,0,1090,E1043,1
B5433269.FOLD,O0037,E1036 ,PP06,General,2,0,583,E1043,1
F2834513.FOLD,O0037,E1047 ,HP02,General,2,0,500,E1043,1
9253920415.LIP_FORM,O0050,E1011 ,PP12,General,3,0,787,E1010,1
100260710.9_HOLES_PIERCE_EMBOSS,O0088,E057,PP12,General,1,0,70,E1010,1
100261520.1ST_DRAW,O0002,E040 ,HP06,General,1,0,1471,E1019,1
9253010242.LEAK_CHECK,O0048,E1054,LM01,General,2,0,602,E1010,1
9253010242.TOP_HOLES_PIERCE,O0070,E1011,PP09-13,General,1,0,355,E1010,1
F2839513.PART,O0123,E1031 ,PP06,General,3,0,200,E1043,1
FD202413.BLANK,O0019,E1031 ,PP06,General,5,0,500,E1043,1
FD202313.BLANK,O0019,E1031 ,PP06,General,6,0,500,E1043,1
9253920415.TOP_HOLES_PIERCE,O0070,E1011 ,PP09-13,General,2,0,247,E1010,1
B5503294.FOLD,O0037,E1037 ,PP03,General,3,0,308,E1015,1
9253920206.1ST_DRAW,O0002,E1030,PP08,General,1,0,450,E1043,1
9253920206.TRIM,O0072,E1030,PP08,General,3,0,450,E1015,1
9253920206.LETTER_PUNCH,O0049,E1030,PP08,General,6,0,450,E1015,1
100260710.1ST_DRAW,O0002,E1011,PP09,General,1,0,250,E1010,1
100260710.1ST_DRAW,O0002,E1011,PP09,General,5,0,350,E1010,1
100260710.2ND_DRAW,O0003,E1011,PP10,General,1,0,250,E1010,1
100260710.2ND_DRAW,O0003,E1011,PP10,General,6,0,350,E1010,1
100260710.TRIM,O0072,E1011,PP11,General,2,0,250,E1010,1
100260710.9_HOLES_PIERCE_EMBOSS,O0088,E1011,PP12,General,2,0,250,E1010,1
100260710.TOP_SIDE_HOLES_PIERCE,O0071,E1027 ,PP04,General,1,0,750,E1015,1
100260710.TOP_SIDE_HOLES_PIERCE,O0071,E1027 ,PP04,General,1,0,1250,E1043,1
9253920206.TRIM,O0072,E1030,PP08,General,1,0,550,E1043,1
F5058914.PARTNO_PUNCH,O0127,E1024,PP02,General,1,0,128,E1043,1
100260710.1ST_DRAW,O0002,E1011,PP09,General,2,0,250,E1010,1
100260710.1ST_DRAW,O0002,E1011,PP09,General,5,0,250,E1010,1
100260710.1ST_DRAW,O0002,E1011,PP09,General,7,0,250,E1010,1
100260710.2ND_DRAW,O0003,E1011,PP10,General,2,0,250,E1010,1
100260710.2ND_DRAW,O0003,E1011,PP10,General,4,0,250,E1010,1
100260710.2ND_DRAW,O0003,E1011,PP10,General,6,0,250,E1010,1
100260710.2ND_DRAW,O0003,E1011,PP10,General,8,0,150,E1010,1
100260710.TRIM,O0072,E1011,PP11,General,3,0,250,E1010,1
100260710.TRIM,O0072,E1011,PP11,General,5,0,250,E1010,1
100260710.TRIM,O0072,E1011,PP11,General,7,0,250,E1010,1
100260710.9_HOLES_PIERCE_EMBOSS,O0088,E1011,PP12,General,8,0,150,E1010,1
100260710.TOP_SIDE_HOLES_PIERCE,O0071,E1011,PP13,General,3,0,250,E1010,1
100260710.TOP_SIDE_HOLES_PIERCE,O0071,E1011,PP13,General,6,0,250,E1010,1
100260710.TOP_SIDE_HOLES_PIERCE,O0071,E1011,PP13,General,8,0,150,E1010,1
9259076592.1ST_DRAW,O0002,E1011,PP09,General,3,0,500,E1010,1
9259076592.1ST_DRAW,O0002,E1011,PP09,General,4,0,500,E1010,1
9259076592.1ST_DRAW,O0002,E1011,PP09,General,8,0,198,E1010,1
